1310k  111.199.232.88:18888
1309k  222.131.18.98:8688
1149k  221.221.151.0:8888
1126k  114.246.180.128:4022
1115k  221.221.155.31:8888
956k  123.113.187.204:8000
954k  123.113.106.229:4022
888k  123.113.14.115:8012
852k  222.129.33.14:8888
799k  114.243.156.93:8888
775k  111.196.255.212:10000
766k  114.254.93.135:2222
743k  111.196.131.46:20000
673k  111.193.236.34:9999
632k  114.243.106.165:8888
600k  221.217.54.246:8686
583k  114.243.107.36:8888
582k  222.130.85.105:4022
561k  123.118.110.1:4022
532k  111.192.0.32:4022
501k  114.252.231.80:8000
492k  114.243.104.126:8888
446k  114.240.43.235:8012
315k  114.254.94.118:2222
309k  114.254.80.240:2222
293k  123.113.237.160:8888
223k  114.254.94.146:2222
