819k  42.237.178.139:4000
809k  42.237.179.1:4000
798k  42.237.181.162:4000
779k  42.237.183.89:4000
779k  42.237.183.213:4000
779k  42.237.183.209:4000
779k  42.237.183.132:4000
779k  42.237.183.122:4000
779k  42.237.181.126:4000
779k  42.237.180.245:4000
779k  42.237.180.117:4000
779k  42.237.178.203:4000
779k  42.237.178.114:4000
779k  219.156.49.6:9999
778k  42.237.181.191:4000
751k  42.237.183.181:4000
730k  42.237.183.174:4000
725k  42.237.181.146:4000
718k  42.237.178.180:4000
691k  42.237.181.248:4000
657k  115.60.241.249:2000
630k  42.237.182.6:4000
598k  42.237.179.29:4000
592k  42.237.179.3:4000
589k  42.237.183.240:4000
