977k  221.232.107.193:8880
959k  59.174.98.169:8880
957k  111.175.164.168:8888
956k  27.18.7.3:4022
950k  171.41.194.176:8888
949k  221.234.140.22:4022
943k  171.80.232.132:8888
940k  27.24.44.120:8888
938k  58.52.169.7:9999
921k  58.54.43.240:5555
896k  59.175.47.16:4000
886k  27.28.224.95:8989
883k  171.80.250.48:8888
761k  27.30.72.19:8888
755k  119.100.148.10:8888
749k  27.24.224.195:8888
741k  58.52.242.3:8888
721k  27.24.224.125:8888
580k  27.22.15.10:8880
521k  27.22.69.250:8880
197k  119.98.163.217:85
