994k  117.94.38.218:8888
993k  117.94.38.219:8888
992k  117.88.225.33:8888
991k  117.85.153.180:8800
990k  222.185.106.8:8888
989k  49.73.163.14:4022
989k  121.237.37.76:8888
979k  114.238.189.209:8888
978k  58.219.143.69:4001
978k  180.125.205.135:8888
977k  222.185.115.100:9004
977k  180.125.67.195:8888
976k  180.109.220.212:8888
976k  114.238.59.174:4000
975k  49.79.131.55:55555
969k  180.107.236.60:8888
965k  180.126.137.55:7000
956k  117.94.38.213:8888
945k  49.67.97.198:55555
937k  180.103.165.77:8888
937k  180.103.165.76:8888
934k  180.109.222.120:8888
925k  114.234.63.54:3000
907k  222.94.215.155:4022
874k  117.60.115.25:5678
858k  49.72.158.64:9000
752k  180.114.117.225:3299
751k  180.114.117.225:15
739k  180.114.117.225:6008
735k  180.114.117.225:16000
728k  180.114.117.225:9006
720k  180.114.117.225:9333
676k  180.114.117.225:9191
606k  180.104.243.70:8888
600k  58.213.250.8:8001
320k  180.103.165.67:8888
